Date,Open,High,Low,Volume,Close
2005-04-20,45950,46200,44100,498400,45100
2005-04-21,44150,46000,43950,468100,45800
2005-04-22,46700,47200,46000,759300,46800
2005-04-25,46350,47850,46100,556100,47850
2005-04-26,47600,47850,46850,647900,46950
2005-04-27,46400,46600,45900,310700,46450
2005-04-28,46500,46900,45600,260500,45600
2005-04-29,45000,46200,44950,408700,46200
2005-05-02,46600,46750,46250,262700,46750
2005-05-03,47050,47050,46400,188900,46500
2005-05-04,47050,47800,47050,330500,47400
2005-05-05,47400,47400,47400,0,47400
2005-05-06,48350,50600,48350,1344900,49700
2005-05-09,49800,50900,49400,601500,50900
2005-05-10,51000,52200,49850,600100,50000
2005-05-11,49400,49700,48450,547100,49000
2005-05-12,49000,50600,48800,496200,49700
2005-05-13,49400,51900,49200,572800,51400
2005-05-16,51500,52800,51000,621300,51500
2005-05-17,51700,52000,49750,731300,50200
2005-05-18,50800,50900,49250,419000,49700
2005-05-19,50300,51200,50100,537900,51200
2005-05-20,51200,52300,50800,333700,51000
2005-05-23,51000,51000,50000,255800,50500
2005-05-24,51000,51500,50100,395900,50500
2005-05-25,50700,51500,50200,360200,50800
2005-05-26,51000,51400,49950,388500,50700
2005-05-27,51200,51500,50900,343000,51300
2005-05-30,51100,53800,50800,676500,53500
2005-05-31,53400,53400,52200,483500,53000
2005-06-01,52400,53000,51500,643900,51500
2005-06-02,52000,52300,51000,774700,51000
2005-06-03,51200,52000,50800,413100,51600
2005-06-06,51600,51600,51600,0,51600
2005-06-07,51200,54000,50700,1229800,53000
2005-06-08,52500,52900,51900,771000,52400
2005-06-09,52300,52400,51600,515200,52400
2005-06-10,52300,53000,51200,513700,51400
2005-06-13,51300,51700,50500,527800,50700
2005-06-14,50300,51300,49600,676800,49600
2005-06-15,49400,50800,49400,505300,50500
2005-06-16,50400,51100,49750,568800,49950
2005-06-17,50400,50900,49800,430100,50700
2005-06-20,50000,50100,48850,652600,49000
2005-06-21,48700,48900,47400,773600,47700
2005-06-22,47600,48350,47500,432300,47900
2005-06-23,47300,47900,46250,1270100,46900
2005-06-24,46500,47000,46300,514300,46700
2005-06-27,46000,46200,45750,389100,46100
2005-06-28,45800,47300,45800,684500,46900
2005-06-29,47500,48000,47000,543000,47150
2005-06-30,47000,48200,47000,334100,48100
2005-07-01,47700,49200,47700,662800,49000
2005-07-04,49250,49400,48350,537300,49250
2005-07-05,49000,49150,48500,422200,48650
2005-07-06,48800,48850,46750,965100,47050
2005-07-07,47100,47700,46850,427100,47250
2005-07-08,46500,46700,45950,847200,46000
2005-07-11,46000,46350,45000,1244200,45500
2005-07-12,46900,47950,46750,1339800,47000
2005-07-13,47000,47300,45650,899600,46350
2005-07-14,46400,46750,45800,729100,46200
2005-07-15,46050,47750,46050,852200,46800
2005-07-18,46800,46900,46150,627900,46550
2005-07-19,46350,46600,44850,1542100,45150
2005-07-20,45000,45500,44550,1336600,44800
2005-07-21,44600,45750,44300,1810600,44800
2005-07-22,45300,47500,45250,14441600,47300
2005-07-25,46750,47500,46300,1498200,47300
2005-07-26,47300,48600,46750,1888500,47450
2005-07-27,47500,47600,46700,882900,47000
2005-07-28,47200,47300,46250,1102100,46900
2005-07-29,47300,47850,46450,1385100,47550
2005-08-01,47600,47700,47000,572400,47400
2005-08-02,48000,49000,47800,1468600,49000
2005-08-03,49600,50900,49150,1683000,49500
2005-08-04,49500,51400,49350,2122200,50800
2005-08-05,49300,49650,49000,1072900,49550
2005-08-08,48000,48650,47600,727300,48400
2005-08-09,48400,49350,48000,531800,48900
2005-08-10,48900,49250,48650,548500,49000
2005-08-11,49000,49000,48150,541500,48900
2005-08-12,49300,51200,49100,1584900,50600
2005-08-15,50600,50600,50600,0,50600
2005-08-16,50500,50500,49650,797500,50300
2005-08-17,49100,49800,48600,971000,49700
2005-08-18,49300,49450,47450,1059300,48100
2005-08-19,47600,48350,47000,655800,48350
2005-08-22,48050,48900,47800,541300,48750
2005-08-23,49000,49000,47700,450800,48350
2005-08-24,48300,48400,47250,674700,48000
2005-08-25,47200,48350,46800,709100,48000
2005-08-26,47500,48000,47350,500000,47350
2005-08-29,46450,46800,46050,572400,46300
2005-08-30,47000,47250,46500,447300,46800
2005-08-31,46850,47700,46700,478500,47400
2005-09-01,47550,48000,47550,385700,47800
2005-09-02,47900,48900,47900,568500,48600
2005-09-05,48650,48700,48050,449100,48600
2005-09-06,48650,49350,48450,750300,48600
2005-09-07,49300,49800,48700,1013100,49700
2005-09-08,49800,50300,48500,1350100,49300
2005-09-09,49000,49250,48300,656900,49100
2005-09-12,48900,49300,48500,924500,48500
2005-09-13,48650,48700,47200,1801300,47200
2005-09-14,46500,46950,46000,2458700,46500
2005-09-15,46000,46050,43400,3796000,44150
2005-09-16,42650,43300,41900,2822300,43100
2005-09-19,43100,43100,43100,0,43100
2005-09-20,43200,44000,42750,2076700,43300
2005-09-21,42800,43800,42800,1383500,43550
2005-09-22,43400,43400,42600,1380800,42850
2005-09-23,42350,42650,41450,2862000,41550
2005-09-26,41650,42450,41650,989400,42250
2005-09-27,42200,43000,41750,1121900,42350
2005-09-28,42500,43550,42500,1539600,43350
2005-09-29,43300,43800,42700,688824,43350
2005-09-30,43450,43550,42950,878394,43050
2005-10-03,43100,43100,43100,0,43100
2005-10-04,43100,43650,42600,1210855,43100
2005-10-05,43500,44700,43450,1796058,43950
2005-10-06,44000,44500,43700,1149606,43950
2005-10-07,43950,44400,43700,753662,44250
2005-10-10,44500,45650,44500,1408601,45150
2005-10-11,45100,45200,44450,893801,45200
2005-10-12,42200,42650,41250,4925967,41350
2005-10-13,40800,40850,39950,2412849,40700
2005-10-14,40800,41250,40400,1748376,41000
2005-10-17,40700,41350,40250,1068700,40450
2005-10-18,40300,40450,38950,2442420,39400
2005-10-19,38350,38650,37850,1705592,38450
2005-10-20,38850,39350,38450,851858,38450
2005-10-21,37550,40000,37550,1137179,40000
2005-10-24,40000,40350,39600,468772,39900
2005-10-25,40300,40550,39750,615152,40100
2005-10-26,40100,40400,39450,1398004,39600
2005-10-27,38950,39150,38100,997986,38400
2005-10-28,38000,38100,37250,1160001,37400
2005-10-31,38050,39150,37750,1355560,38800
2005-11-01,39450,40050,39050,749019,39250
2005-11-02,39500,39950,39400,490528,39650
2005-11-03,40300,40600,39850,1001351,40600
2005-11-04,41450,42400,41450,1668151,42000
2005-11-07,42850,42850,41750,792595,42100
2005-11-08,42500,42500,41500,449742,42050
2005-11-09,41500,42750,41300,985322,42550
2005-11-10,42600,42750,41800,576186,42600
2005-11-11,42850,43100,42550,578203,43000
2005-11-14,43000,43050,42350,452200,42400
2005-11-15,42900,42900,41600,448034,42350
2005-11-16,41650,42300,41600,484619,42300
2005-11-17,41750,42250,41650,520462,42250
2005-11-18,42400,42500,41550,810394,41900
2005-11-21,42200,42350,41450,509986,41900
2005-11-22,42000,42250,41000,784355,41500
2005-11-23,41500,41900,41350,824577,41700
2005-11-24,41850,41900,40950,846975,41500
2005-11-25,41600,43300,41400,1512227,42700
2005-11-28,43450,45100,43400,2670336,44750
2005-11-29,45000,45350,44550,1365801,44750
2005-11-30,45250,45500,44700,1513613,45350
2005-12-01,45600,47000,45500,1514274,46600
2005-12-02,47500,47600,46800,1351920,46800
2005-12-05,47000,47200,45900,700997,46500
2005-12-06,46000,46150,45150,1236969,45200
2005-12-07,44300,44450,43550,1856210,44350
2005-12-08,44150,44950,43850,1324253,44200
2005-12-09,44100,45100,43800,765304,43800
2005-12-12,43400,44750,43400,1067838,44050
2005-12-13,44200,44900,44050,564327,44300
2005-12-14,44400,44550,43500,908094,43950
2005-12-15,42000,42100,41100,4191927,41900
2005-12-16,41500,41900,41350,1341629,41800
2005-12-19,41700,41800,41150,1355175,41650
2005-12-20,41400,41950,41350,916016,41600
2005-12-21,41400,41900,41300,1240025,41700
2005-12-22,41950,42150,41600,1302900,41850
2005-12-23,41950,42200,41700,1863487,41950
2005-12-26,42350,43050,42350,2495100,42900
2005-12-27,42850,43100,42350,1166471,42850
2005-12-28,42700,43450,42350,745069,42950
2005-12-29,43050,43500,42850,1251094,42950
2006-01-02,42950,44050,42350,1240276,43750
2006-01-03,44200,44400,42600,903598,43350
2006-01-04,43400,43450,42250,1581308,42600
2006-01-05,42000,42250,40900,1992419,41600
2006-01-06,40550,41050,40100,2011425,41050
2006-01-09,41700,42300,41600,1499421,41600
2006-01-10,41550,41850,40400,1212666,41000
2006-01-11,41100,41950,40850,1219333,41700
2006-01-12,42550,42950,41900,2251932,42300
2006-01-13,38950,40250,38500,4162719,40250
2006-01-16,41000,42250,40100,2567132,41700
2006-01-17,41300,42450,41100,1512786,41800
2006-01-18,40950,41300,40100,1265778,40650
2006-01-19,40900,41600,40600,1005026,40900
2006-01-20,41500,42450,40650,1439219,40800
2006-01-23,40000,41100,39950,1070116,40700
2006-01-24,41700,42500,41100,1419755,42000
2006-01-25,42200,43500,41700,2302504,42900
2006-01-26,42200,43000,42100,828225,42500
2006-01-27,43100,44350,43100,1842038,44000
2006-01-31,43950,44800,43800,1042239,43950
2006-02-01,43500,43850,43100,767257,43700
2006-02-02,43900,44150,42600,751609,43550
2006-02-03,42500,43050,42200,877487,43050
2006-02-06,42550,43300,42000,683531,43150
2006-02-07,42600,44050,42600,905739,43500
2006-02-08,44200,45400,44000,3491474,44500
2006-02-09,45550,46000,45200,2055941,45400
2006-02-10,45200,46200,45200,1298037,45750
2006-02-13,45050,45700,45050,979750,45700
2006-02-14,45000,45500,44950,572071,45500
2006-02-15,45750,46300,45550,1766969,45850
2006-02-16,46650,46800,46350,1718513,46700
2006-02-17,47150,47500,46300,724114,46500
