Date,Open,High,Low,Volume,Close
2000-07-06,31600,33200,31000,963500,32300
2000-07-07,32700,33300,31700,986900,32200
2000-07-10,32500,32650,32050,839000,32550
2000-07-11,32650,33300,31000,988400,31000
2000-07-12,31000,31300,29500,604100,30300
2000-07-13,30300,30700,29400,356800,30400
2000-07-14,29700,30200,28300,485900,28750
2000-07-17,28750,28750,28750,0,28750
2000-07-18,28100,28500,26700,408200,27100
2000-07-19,28100,28500,26700,408200,27100
2000-07-20,27500,28350,27000,639000,27000
2000-07-21,27500,27500,26100,301000,26850
2000-07-24,26850,26850,25200,378900,25200
2000-07-25,25200,25800,24300,279800,25500
2000-07-26,25500,25800,24800,239700,25600
2000-07-27,25600,25600,24800,274400,25000
2000-07-28,25000,25100,23750,409900,23900
2000-07-31,23900,26000,23900,291100,25900
2000-08-01,25100,26700,25100,489800,26300
2000-08-02,26350,27150,25800,302800,26950
2000-08-03,26900,27500,26850,260300,27000
2000-08-04,26450,27300,26350,136900,27000
2000-08-07,26500,27050,26300,148600,26500
2000-08-08,26600,27200,26100,158600,26100
2000-08-09,26200,27550,26200,348200,27550
2000-08-10,27600,29700,27200,720200,29500
2000-08-11,29000,30700,28750,727000,29500
2000-08-14,30400,30500,29050,359200,29050
2000-08-15,29050,29050,29050,0,29050
2000-08-16,29000,29850,29000,342400,29500
2000-08-17,29500,29800,29100,358600,29400
2000-08-18,29000,29500,28300,263000,28600
2000-08-21,28200,28850,28000,255500,28800
2000-08-22,28400,29850,28300,424700,29850
2000-08-23,29800,29850,29000,189600,29000
2000-08-24,29150,29500,28000,144400,29000
2000-08-25,29300,29400,28750,126600,29400
2000-08-28,29400,31200,29100,436800,30800
2000-08-29,30700,30900,30100,218500,30500
2000-08-30,30400,30600,30000,185300,30200
2000-08-31,29800,30400,29000,440400,29600
2000-09-01,29100,30200,29100,146500,29850
2000-09-04,29800,30250,29500,135500,29700
2000-09-05,29600,30200,29500,101400,30000
2000-09-06,30050,31400,30050,410200,30500
2000-09-07,30100,30400,29800,252900,30150
2000-09-08,30000,31300,29650,217900,31300
2000-09-11,31300,31300,31300,0,31300
2000-09-12,31300,31300,31300,0,31300
2000-09-13,31300,31300,31300,0,31300
