#Date,Open,High,Low,Volume,Close
2014-04-07,58000,60200,57800,470161,60200
2014-04-08,60100,60400,59300,295446,60000
2014-04-09,59600,60000,59400,186030,59500
2014-04-10,59400,60200,59200,186850,60100
2014-04-11,59100,59800,59000,131636,59600
2014-04-14,59100,60000,58900,72182,59500
2014-04-15,59300,60000,58500,153451,58900
2014-04-16,58800,60200,58800,247210,59800
2014-04-17,60400,61300,59900,275857,60600
2014-04-18,60500,60900,59800,138603,60500
2014-04-21,60300,60600,59500,79391,60000
2014-04-22,59700,60800,59500,100506,60500
2014-04-23,60900,61200,60500,149186,60500
2014-04-24,60200,60600,59100,183096,59600
2014-04-25,59600,59600,58500,197654,58700
2014-04-28,58500,59200,58200,84759,58200
2014-04-29,58400,59600,58400,134251,58900
2014-04-30,59200,60200,57300,408911,57500
2014-05-02,57500,59300,57500,150765,58500
2014-05-07,58500,59100,56700,176852,57200
2014-05-08,57200,57200,56100,305541,56900
2014-05-09,56600,57300,56400,104952,56800
2014-05-12,56800,57100,56200,194950,56400
2014-05-13,56600,58100,56400,165265,57500
2014-05-14,58300,59800,58100,308425,59800
2014-05-15,59500,59600,58700,125545,58800
2014-05-16,58400,60100,57300,381311,60100
2014-05-19,60100,60700,58800,342250,60300
2014-05-20,59800,60600,59000,244855,60100
2014-05-21,59800,60300,59200,196097,60300
2014-05-22,60300,60500,59400,179746,59800
2014-05-23,60100,60500,59400,327665,60300
2014-05-26,59900,60500,59400,155155,59500
2014-05-27,60200,60200,59000,126738,59200
2014-05-28,59200,61000,59200,449930,60900
2014-05-29,61000,61400,60300,400609,60900
2014-05-30,61000,62000,60400,396123,60700
2014-06-02,60700,62300,60700,402773,62100
2014-06-03,61600,62100,60300,441406,61300
2014-06-05,61300,62000,60700,189603,61000
2014-06-09,61000,63400,61000,415082,62800
2014-06-10,63000,64900,62700,585794,64800
2014-06-11,64800,65500,64400,395808,65000
2014-06-12,64600,64900,63500,364447,64900
2014-06-13,64600,64600,62400,429450,62600
2014-06-16,62900,63700,61000,434123,62900
2014-06-17,63100,64200,62900,373856,63700
2014-06-18,63200,63700,62400,187240,62700
2014-06-19,63200,63400,62200,339338,63200
2014-06-20,63100,63400,61200,278989,61800
2014-06-23,61500,62300,61400,151454,61700
2014-06-24,61200,64500,61200,322465,64300
2014-06-25,64300,64500,62600,335314,63200
2014-06-26,63200,63900,62600,273893,63300
2014-06-27,63300,63300,62400,173043,62500
2014-06-30,62800,63100,61700,279254,62500
2014-07-01,62000,62500,61600,161817,62300
2014-07-02,62600,64700,62000,364710,64700
2014-07-03,64200,64500,62800,201967,63200
2014-07-04,63300,63700,62800,149905,62800
2014-07-07,63000,63600,62600,128154,63600
2014-07-08,63600,64200,63200,179344,63500
2014-07-09,62900,63000,62100,164926,62300
2014-07-10,62900,63100,62200,190082,62700
2014-07-11,62500,62500,60400,337851,60900
2014-07-14,60800,61500,60700,149453,60800
2014-07-15,60800,62700,60800,261098,62600
2014-07-16,62800,63100,62300,152903,62800
2014-07-17,62800,63500,62800,221517,63400
2014-07-18,62800,63200,62700,114262,63000
2014-07-21,63500,64400,63000,260239,63300
2014-07-22,63000,63900,63000,113747,63900
2014-07-23,64000,64400,63700,187376,64300
2014-07-24,64100,66400,64000,465641,65400
2014-07-25,66000,66700,64800,597475,65700
2014-07-28,66000,67200,65200,268683,65700
2014-07-29,66500,66900,65300,378068,66400
2014-07-30,66800,68500,66700,666925,67800
2014-07-31,68300,69400,68000,536772,69400
2014-08-01,68700,69600,68600,300081,69500
2014-08-04,69500,69900,67800,324198,68500
2014-08-05,69000,69700,68600,287283,69200
2014-08-06,69200,71200,68700,429099,70000
2014-08-07,70000,71100,69600,385111,70300
2014-08-08,70400,70900,68200,182415,68300
2014-08-11,69200,70000,68700,207355,69200
2014-08-12,69700,69900,67700,159797,68500
2014-08-13,68500,69300,68200,139316,69300
2014-08-14,69000,70000,68700,132181,69200
2014-08-18,69200,69700,68000,101359,69500
2014-08-19,69100,70300,68700,175692,70100
2014-08-20,70800,71500,69600,317292,71500
2014-08-21,71700,71700,69000,322604,70800
2014-08-22,69900,70800,69500,174376,70000
2014-08-25,70000,70800,69100,144117,70300
