Date,Open,High,Low,Volume,Close
2014-03-26,193000,193500,187500,189001,190500
2014-03-27,189500,190000,185500,107125,190000
2014-03-28,189500,191000,186500,106827,188000
2014-03-31,188500,193500,186500,172640,188000
2014-04-01,190000,196500,188000,233914,193500
2014-04-02,195000,196500,188000,236300,190000
2014-04-03,192000,192000,185500,169400,186500
2014-04-04,186500,188500,185500,115596,186500
2014-04-07,185000,191500,185000,127399,191000
2014-04-08,191000,194000,190000,146474,193000
2014-04-09,194500,195000,191500,110515,192500
2014-04-10,194000,194000,185500,308560,189500
2014-04-11,186000,187000,183500,202742,184000
2014-04-14,184500,185500,182500,87116,182500
2014-04-15,183500,185000,182000,87242,183000
2014-04-16,184500,185000,181000,93085,181500
2014-04-17,182000,183500,181000,78509,182500
2014-04-18,184500,187000,184000,98839,185500
2014-04-21,187500,188000,186000,79974,186500
2014-04-22,185500,186500,183500,105710,184000
2014-04-23,184500,186000,179000,175769,180000
2014-04-24,179500,181000,177500,122657,178500
2014-04-25,178500,178500,171500,284571,172000
2014-04-28,171500,175000,170000,136682,173500
2014-04-29,173000,173000,164000,437488,167000
2014-04-30,168000,168500,161500,269597,163000
2014-05-02,163000,164500,162500,128461,163000
2014-05-07,163000,164000,160000,109577,160500
2014-05-08,159000,162000,158000,135063,161500
2014-05-09,162000,163500,158500,144590,159000
2014-05-12,158500,160000,154000,153164,159000
2014-05-13,160000,167000,159500,286107,163500
2014-05-14,164500,165500,162000,128210,165000
2014-05-15,165000,170500,164000,232933,167500
2014-05-16,166000,167500,165000,90059,167500
2014-05-19,169000,169500,165000,90299,165500
2014-05-20,165000,166500,159000,199659,161500
2014-05-21,160500,162500,159000,128670,160500
2014-05-22,161500,171500,161500,384443,169500
2014-05-23,170500,171000,168500,154931,170000
2014-05-26,170500,172000,168000,99542,169000
2014-05-27,171000,172500,168000,154015,169500
2014-05-28,171000,172000,168500,129994,170000
2014-05-29,170000,170500,161500,276371,162500
2014-05-30,162500,164500,159500,253138,161000
2014-06-02,162000,164500,161500,122831,163000
2014-06-03,164000,170500,162500,281682,168500
2014-06-05,168500,170500,166000,152469,168500
2014-06-09,168500,176500,168500,311286,174000
2014-06-10,175000,178000,173000,197538,176000
2014-06-11,175000,183000,172000,272465,179000
2014-06-12,179000,182500,177500,183441,180000
2014-06-13,180000,181500,177500,130058,180000
2014-06-16,181500,184500,178500,153911,180000
2014-06-17,179500,184000,179500,123124,182000
2014-06-18,183000,185500,182000,150073,183500
2014-06-19,184000,185500,182000,104703,184000
2014-06-20,182500,182500,175500,226880,178500
2014-06-23,178500,185000,178000,165039,182000
2014-06-24,181500,183000,180500,82565,181000
2014-06-25,180000,181000,177000,157271,178500
2014-06-26,179000,182500,177500,143498,181000
2014-06-27,181000,186000,180500,168916,184000
2014-06-30,186000,187500,183500,115538,184500
2014-07-01,185000,185500,181500,100314,183000
2014-07-02,183000,186000,181500,100516,182000
2014-07-03,182000,182000,175500,280236,177500
2014-07-04,178000,178500,173500,168435,174000
2014-07-07,174500,176000,173500,75173,174000
2014-07-08,173500,174000,169500,202214,171000
2014-07-09,167500,169500,166000,158456,167500
2014-07-10,168000,169000,164500,146513,166000
2014-07-11,165000,168000,164000,95614,165500
2014-07-14,166500,167500,162500,113638,163000
2014-07-15,164000,170000,163500,166410,168000
2014-07-16,168000,173500,167000,149180,168000
2014-07-17,170000,172000,165500,128679,166500
2014-07-18,164500,167000,163500,122328,166000
2014-07-21,167500,169000,163500,109305,164500
2014-07-22,164500,167500,163500,78305,167000
2014-07-23,168000,171000,166500,138158,170000
2014-07-24,169000,174000,167500,180753,171000
2014-07-25,172500,174500,171500,124412,173000
2014-07-28,173500,178000,169500,203514,176500
2014-07-29,178500,180000,176000,170607,177500
2014-07-30,176500,177500,171500,154227,173000
2014-07-31,173000,177500,172000,158341,176500
2014-08-01,177000,189000,177000,684496,188000
2014-08-04,189500,190000,184500,212212,186000
2014-08-05,186500,187500,179500,231163,179500
2014-08-06,180000,183000,178500,117800,178500
2014-08-07,180000,181500,175000,128360,177000
2014-08-08,175500,178500,173000,123344,174500
2014-08-11,176500,177000,174000,64609,174500
2014-08-12,175000,179500,175000,82538,176000
2014-08-13,176000,177000,169000,197717,172500
2014-08-14,172500,173000,169000,140133,171000
2014-08-18,171000,171000,165000,232990,167500
2014-08-19,168500,170000,166000,166900,167500
2014-08-20,169000,170000,163500,281338,165500
2014-08-21,164500,165500,161000,243544,163000
2014-08-22,163000,165500,161500,133972,163000
2014-08-25,162000,164000,159000,169453,161500
2014-08-26,162500,165500,162000,103767,164500
2014-08-27,165500,166500,161500,107657,163000
2014-08-28,163000,165000,162500,99391,163500
