Date,Open,High,Low,Volume,Close
2000-07-28,13600,14500,13500,1308100,13950
2000-07-31,13700,14950,13700,840200,14950
2000-08-01,15000,15300,14500,848800,15150
2000-08-02,15300,16100,15250,1932100,15300
2000-08-03,15450,15650,15100,834000,15300
2000-08-04,15000,15450,14600,507600,15200
2000-08-07,14150,14750,14150,432300,14200
2000-08-08,14000,14900,13800,582500,14700
2000-08-09,15200,16900,15000,4112300,16900
2000-08-10,17000,17650,16700,4788300,17450
2000-08-11,17200,17400,16800,2263800,17150
2000-08-14,18000,18500,16900,2633600,17300
2000-08-15,17300,17300,17300,0,17300
2000-08-16,17000,17200,16600,1511500,17000
2000-08-17,16700,19050,16600,5194800,17550
2000-08-18,18000,18000,16800,2587900,17250
2000-08-21,16700,17300,16600,1251200,16800
2000-08-22,16600,16600,15550,26776600,16100
2000-08-23,16250,16550,15850,3871000,16150
2000-08-24,16000,16200,15700,2642900,15900
2000-08-25,15800,16750,15800,3885800,16700
2000-08-28,16700,16900,16400,1748600,16700
2000-08-29,17200,17500,17050,4154900,17250
2000-08-30,17250,17250,16900,1953000,16950
2000-08-31,16900,17050,16500,2082400,16800
2000-09-01,17200,17200,16700,1120000,17200
2000-09-04,17000,17150,16600,902000,16750
2000-09-05,16750,16900,16150,967100,16800
2000-09-06,16700,17200,16500,1118300,16700
2000-09-07,16300,16550,15900,1248200,15900
2000-09-08,15700,16550,15500,1067700,16300
2000-09-11,16300,16300,16300,0,16300
2000-09-12,16300,16300,16300,0,16300
2000-09-13,16300,16300,16300,0,16300
2000-09-14,16200,17150,15900,1937400,17050
2000-09-15,16800,17550,16550,1915300,16650
2000-09-18,15900,15950,14200,2388700,14700
2000-09-19,14300,14900,12500,2783100,12500
2000-09-20,13500,13700,12300,3368400,12800
2000-09-21,13500,13900,12950,2442200,13300
2000-09-22,13000,13200,12500,1646400,13000
2000-09-25,13000,13500,12750,1039300,13500
2000-09-26,13350,13600,13050,609700,13450
2000-09-27,13650,13750,13400,784900,13650
2000-09-28,13950,14450,13500,1207700,14350
2000-09-29,14100,14600,13800,1549400,14500
2000-10-02,14000,14200,13900,402500,13900
2000-10-03,13900,13900,13900,0,13900
2000-10-04,13850,14050,13300,1138900,14000
2000-10-05,14000,14250,13650,888900,13850
2000-10-06,13500,13700,13100,1389000,13150
2000-10-09,13300,13950,13150,1470900,13750
2000-10-10,13800,14200,13750,915000,13950
2000-10-11,13850,13950,13250,602400,13700
2000-10-12,13400,13900,12600,530300,12600
2000-10-13,12300,13450,12000,1670500,13450
2000-10-16,13450,13450,13450,0,13450
2000-10-17,13000,13000,11150,1554700,11150
2000-10-18,10300,11850,9630,3649800,11050
2000-10-19,10300,11300,10300,2279200,10700
2000-10-20,11300,12250,11050,2588300,11800
2000-10-23,12200,12300,11150,1035700,11150
2000-10-24,11400,12300,11250,1290900,12100
2000-10-25,12000,12700,11550,1041100,12500
2000-10-26,12100,12600,12050,706400,12450
2000-10-27,12450,12450,12450,0,12450
2000-10-30,12100,12900,12000,1007000,12500
2000-10-31,12000,13000,10650,1120600,13000
2000-11-01,13300,13950,13100,1021000,13900
2000-11-02,13900,14350,13900,1635600,14250
2000-11-03,14250,14250,13750,854400,14100
2000-11-06,13900,14500,13600,896000,13600
2000-11-07,14000,14200,13700,504400,13950
2000-11-08,14200,15500,14050,2474500,15200
2000-11-09,15200,15850,15000,1388100,15450
2000-11-10,15700,15800,15150,856300,15400
2000-11-13,15400,15400,14550,632800,14900
2000-11-14,14800,15500,14800,678800,15300
2000-11-15,15200,15600,14900,1034000,15250
2000-11-16,15000,15100,13900,1963600,14150
2000-11-17,13900,14100,12900,3455400,13450
2000-11-20,13100,13300,12800,1207800,12850
2000-11-21,12400,12800,12100,1393100,12450
2000-11-22,12000,13200,12000,2638100,13000
2000-11-23,12800,13250,12650,2625900,12850
2000-11-24,12900,13200,12750,864000,13200
2000-11-27,13250,13600,13250,898000,13550
2000-11-28,13450,13750,13100,492600,13400
2000-11-29,13050,13200,12650,652200,13000
2000-11-30,13000,13050,12600,403400,13000
2000-12-01,12750,13600,12700,1070400,13500
2000-12-04,13400,13400,12550,17534200,12650
2000-12-05,12650,13100,12500,912800,13100
2000-12-06,13500,13600,12900,1141200,13100
2000-12-07,12900,13100,12700,2298200,13100
2000-12-08,12800,13200,12800,478700,13050
2000-12-11,13250,13550,13200,947400,13400
2000-12-12,13450,13500,12700,894700,12800
2000-12-13,12550,12950,12500,1069300,12800
2000-12-14,12650,13050,12650,1175400,12700
2000-12-15,12500,12700,12450,680000,12500
2000-12-18,12250,12650,12200,3249700,12500
2000-12-19,12500,12500,11800,677100,11800
2000-12-20,11100,11400,10350,1935200,10650
2000-12-21,10500,11200,10100,1072000,11000
2000-12-22,11350,11400,10850,708300,11300
2000-12-25,null,null,null,null,null
2000-12-26,11500,12250,11350,949000,12100
2000-12-27,12100,12100,12100,0,12100
2000-12-28,12100,12100,12100,0,12100
2000-12-29,12100,12100,12100,0,12100
2001-01-01,12100,12100,12100,0,12100
2001-01-02,11900,12000,11400,634800,11700
2001-01-03,11500,12100,11500,726700,11900
2001-01-04,12900,13300,12500,1656500,12750
2001-01-05,13200,13650,12900,1741900,13650
2001-01-08,13400,14300,13200,1846400,14150
2001-01-09,13850,14000,13300,1178000,13700
2001-01-10,13300,13600,12100,1650000,12100
2001-01-11,12450,12550,12100,1234300,12100
2001-01-12,12500,13900,12450,1606200,13100
2001-01-15,13300,13750,12800,1390100,13100
2001-01-16,13100,13650,12850,1417500,13600
2001-01-17,13500,13800,13200,1106000,13800
2001-01-18,14100,15100,14100,3630400,14600
2001-01-19,15450,15900,15100,4645800,15500
2001-01-22,15800,15800,15000,1531000,15350
2001-01-23,null,null,null,null,null
2001-01-24,null,null,null,null,null
2001-01-25,null,null,null,null,null
2001-01-26,15200,15400,14800,1742100,14900
2001-01-29,15000,15100,14550,1161200,15000
2001-01-30,15100,15200,14500,890600,14600
2001-01-31,14900,15350,14800,1230400,15350
2001-02-01,15100,15900,14900,1724700,15700
2001-02-02,15400,15500,14700,1262200,14900
2001-02-05,14500,14550,14000,645600,14450
2001-02-06,14100,14700,14100,718300,14700
2001-02-07,14200,14800,14150,507900,14700
2001-02-08,14500,15100,14500,712800,15100
2001-02-09,15000,15550,14550,1076300,15500
2001-02-12,15500,16100,15100,1718800,15800
2001-02-13,15800,16700,15800,2431300,16300
2001-02-14,16300,17100,16150,3059500,17050
2001-02-15,17150,17350,16500,980600,16500
2001-02-16,16700,17000,16250,1106900,16900
2001-02-19,16500,17350,16250,1308900,16700
2001-02-20,16300,17000,16300,762900,17000
2001-02-21,16900,17350,16650,1125400,17200
2001-02-22,17000,17400,16800,1712800,17350
2001-02-23,17150,17450,16950,751900,17350
2001-02-26,17350,17500,17100,490300,17500
2001-02-27,17200,17650,16450,10941400,16500
2001-02-28,16500,16850,15950,1209400,16000
2001-03-01,16000,16000,16000,0,16000
2001-03-02,15600,16650,15400,1386500,16400
2001-03-05,16400,17600,16300,2376200,17500
2001-03-06,17600,17600,16900,11065500,17450
2001-03-07,17050,17400,16600,1053800,16800
2001-03-08,16950,17500,16300,1918600,17350
